Language	Argument	Marking_Type	Marking_Contrast	Local_or_global	Split_or_Fluid	TAM_DM	WO_DM	Other_DM	Animacy_Scale	Pronom_Scale	Def_Scale	Person_Scale
Kakua	P	differential	zero_nonzero	global	split-fluid	no	yes	no	fit	fit	fit	none
Hebrew	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Hebrew	P	differential	zero_nonzero	local	split	no	no	no	none	fit	fit	none
Persian	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Persian	P	differential	zero_nonzero	local	split-fluid	no	no	no	fit	fit	fit	none
Yup'ik	A	differential	marker_length	local	split	no	no	no	none	none	none	fit
Yup'ik	P	differential	zero_nonzero; marker_length	local	split	no	no	no	none	none	none	fit
Dhimal	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Dhimal	P	differential	zero_nonzero	local; global	fluid	no	no	yes	fit	none	fit	none
Qiang	A	differential	zero_nonzero	global	fluid; split	no	yes	yes	fit	none	none	fit
Qiang	P	differential	zero_nonzero	local; global	NotApplicable	NotApplicable	NotApplicable	NotApplicable	fit	none	none	none
